Rank ;Platform ;Year ;Genre ;Publisher
1;Wii ;2006;Sports ;Nintendo
2;NES ;1985;Platform ;Nintendo
3;Wii ;2008;Racing ;Nintendo
4;Wii ;2009;Sports ;Nintendo
5;GB ;1996;Role-Playing ;Nintendo
6;GB ;1989;Puzzle ;Nintendo
7;DS ;2006;Platform ;Nintendo
8;Wii ;2006;Misc ;Nintendo
9;Wii ;2009;Platform ;Nintendo
10;NES ;1984;Shooter ;Nintendo
11;DS ;2005;Simulation ;Nintendo
12;DS ;2005;Racing ;Nintendo
13;GB ;1999;Role-Playing ;Nintendo
14;Wii ;2007;Sports ;Nintendo
15;Wii ;2009;Sports ;Nintendo
16;X360 ;2010;Misc ;Microsoft Game Studios
17;PS3 ;2013;Action ;Take-Two Interactive
18;PS2 ;2004;Action ;Take-Two Interactive
19;SNES ;1990;Platform ;Nintendo
20;DS ;2005;Misc ;Nintendo
21;DS ;2006;Role-Playing ;Nintendo
22;GB ;1989;Platform ;Nintendo
23;NES ;1988;Platform ;Nintendo
24;X360 ;2013;Action ;Take-Two Interactive
25;PS2 ;2002;Action ;Take-Two Interactive
26;GBA ;2002;Role-Playing ;Nintendo
27;DS ;2010;Role-Playing ;Nintendo
28;DS ;2005;Puzzle ;Nintendo
29;PS2 ;2001;Racing ;Sony Computer Entertainment
30;X360 ;2011;Shooter ;Activision
31;GB ;1998;Role-Playing ;Nintendo
32;X360 ;2010;Shooter ;Activision
33;3DS ;2013;Role-Playing ;Nintendo
34;PS4 ;2015;Shooter ;Activision
35;PS3 ;2012;Shooter ;Activision
36;X360 ;2012;Shooter ;Activision
37;X360 ;2009;Shooter ;Activision
38;PS3 ;2011;Shooter ;Activision
39;PS2 ;2001;Action ;Take-Two Interactive
40;Wii ;2008;Fighting ;Nintendo
41;PS3 ;2010;Shooter ;Activision
42;DS ;2005;Simulation ;Nintendo
43;3DS ;2011;Racing ;Nintendo
44;X360 ;2007;Shooter ;Microsoft Game Studios
45;PS4 ;2014;Action ;Take-Two Interactive
46;DS ;2009;Action ;Nintendo
47;N64 ;1996;Platform ;Nintendo
48;PS2 ;2004;Racing ;Sony Computer Entertainment
49;Wii ;2007;Platform ;Nintendo
50;3DS ;2014;Role-Playing ;Nintendo
51;GB ;1992;Adventure ;Nintendo
52;X360 ;2008;Action ;Take-Two Interactive
53;PS ;1997;Racing ;Sony Computer Entertainment
54;3DS ;2011;Platform ;Nintendo
55;PS3 ;2010;Racing ;Sony Computer Entertainment
56;PS3 ;2009;Shooter ;Activision
57;PS3 ;2008;Action ;Take-Two Interactive
58;SNES ;1993;Platform ;Nintendo
59;GBA ;2004;Role-Playing ;Nintendo
60;DS ;2004;Platform ;Nintendo
61;Wii ;2011;Misc ;Ubisoft
62;X360 ;2013;Shooter ;Activision
63;X360 ;2010;Shooter ;Microsoft Game Studios
64;N64 ;1996;Racing ;Nintendo
65;3DS ;2012;Platform ;Nintendo
